,questions,correct_answer,sources
236,Where does Romola end up after leaving Florence?,She drifts out to sea in a boat and ends up in a village affected by the plague.," Florence, 1492: Christopher Columbus has sailed towards the New World, and Florence has just mourned the death of its legendary leader, Lorenzo de' Medici. In this setting, a Florentine trader meets a shipwrecked stranger, who introduces himself as Tito Melema, a young Italianate-Greek scholar. Tito becomes acquainted with several other Florentines, including Nello the barber and a young girl named Tessa. He is also introduced to a blind scholar named Bardo de' Bardi, and his daughter Romola. As Tito becomes settled in Florence, assisting Bardo with classical studies, he falls in love with Romola. However, Tessa falls in love with Tito, and the two are ""married"" in a mock ceremony.
Tito learns from Fra Luca, a Dominican monk, that his adoptive father has been forced into slavery and is asking for assistance. Tito introspects, comparing filial duty to his new ambitions in Florence, and decides that it would be futile to attempt to rescue his adoptive father. This paves the way for Romola and Tito to marry. Fra Luca shortly thereafter falls ill and before his death he speaks to his estranged sister, Romola. Ignorant of Romola's plans, Fra Luca warns her of a vision foretelling a marriage between her and a mysterious stranger who will bring pain to her and her father. After Fra Luca's death, Tito dismisses the warning and advises Romola to trust him. Tito and Romola become betrothed at the end of Carnival, to be married at Easter after Tito returns from a visit to Rome.
The novel then skips ahead to November 1494, more than eighteen months after the marriage. In that time, the French-Italian Wars have seen Florence enter uneasy times. Girolamo Savonarola preaches to Florentines about ridding the Church and the city of scourge and corruption, and drums up support for the new republican government. Piero de' Medici, Lorenzo de' Medici's son and successor to the lordship of Florence, has been driven from the city for his ignominious surrender to the invading French king, Charles VIII. The Medici palace is looted and the Medici family formally exiled from the city. In this setting, Tito, now a valued member of Florentine society, participates in the reception for the French invaders. Tito encounters an escaped prisoner, who turns out to be his adopted father, Baldassarre. Panicked and somewhat ashamed of his earlier inaction, Tito denies knowing the escaped prisoner and calls him a madman. Baldassarre escapes into the Duomo, where he swears revenge on his unfilial adoptive son. Growing ever more fearful, Tito plans to leave Florence. To do this, he betrays his late father-in-law, Bardo, who died some months earlier, by selling the late scholar's library. This reveals to Romola the true nature of her husband's character. She secretly leaves Tito and Florence, but is persuaded by Savonarola to return to fulfil her obligations to her marriage and her fellow Florentines. Nevertheless, the love between Romola and Tito has gone.
Again the action of the novel moves forward, from Christmas 1494 to October 1496. In that time, Florence has endured political upheaval, warfare and famine. Religious fervour has swept through Florence under the leadership of Savonarola, culminating in the Bonfire of the Vanities. The League of Venice has declared war on the French king and his Italian ally, Florence. Starvation and disease run rampant through the city. Romola, now a supporter of Savonarola, helps the poor and sick where she can. Meanwhile, Tito is embroiled in a complex game of political manoeuvring and duplicitous allegiances in the new Florentine government. Mirroring this, he has escaped attempts by Baldassarre to both kill and expose him, and maintains a secret marriage to Tessa, with whom he has fathered two children. Romola becomes defiant of Tito, and the two manoeuvre to thwart each other's plans. Romola meets an enfeebled Baldassarre, who reveals Tito's past and leads her to Tessa.
Political turmoil erupts in Florence. Five supporters of the Medici family are sentenced to death, including Romola's godfather, Bernardo del Nero. She learns that Tito has played a role in their arrest. Romola pleads with Savonarola to intervene, but he refuses. Romola's faith in Savonarola and Florence is shaken, and once again she leaves the city. Meanwhile, Florence is under papal pressure to expel Savonarola. His arrest is effected by rioters, who then turn their attention to several of the city's political elite. Tito becomes a target of the rioters, but he escapes the mob by diving into the Arno River. However, upon leaving the river, Tito is killed by Baldassarre.
Romola makes her way to the coast. Emulating Gostanza in Boccaccio's The Decameron (V, 2), she drifts out to sea in a small boat to die. However, the boat takes her to a small village affected by the Plague, and she helps the survivors. Romola's experience gives her a new purpose in life and she returns to Florence. Savonarola is tried for heresy and burned at the stake, but for Romola his influence remains inspiring. Romola takes care of Tessa and her two children, with the help of her older cousin. The story ends with Romola imparting advice to Tessa's son, based on her own experiences and the influences in her life."
237,Who is the main artist of the story?,Pierre Grassou de Fougeres.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
238,What kind of paintings does Pierre paint?,Forgeries. ," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
239,Who does Monsieur  Vervelle want his child to wed?,Pierre Grassou de Fougeres.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
240,Where are many of Pierres forgeries displayed?,Ville-d'Avray.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
241,How does Grassou rate his paintings?,Mediocre.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
242,What is Grassous biggest disappointment?,That he is not a true artist.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
243,What do the other painters think of Grassou work?,They laugh at it.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
244,Who hired Grassou before he met Monsieur Vervelle?,Elias Magnus.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
245,What was Grassou's wife's name?,Virginie.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
246,Where is Grassou trying to enter?,The Academy.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
247,What does Grassou do for a living?,A mediocre painter of forgeries. ," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
248,Who does Grassou paint the forgeries for?,Elias Magus.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
249,Who does Magus introduce Grassou to as a grand master?,Mr. and Mrs. Vervelle.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
250,Who doe the Vervelle couple believe Grassou is the perfect match for?,"Their daughter, Virgine. "," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
251,"When invited to Vervelle's home, what does Grassou discover?",A number of his own forgeries.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
252,How does Vervelle react to finding out that a number of the paintings that he bought were Grassou's forgeries?,He believes that the forgeries are testament to Grassou's talent.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
253,"Why is Grassou still resentful, despite his potentially advantageous marriage?",He feels as the he is still not a real artist.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
254,Where do Mr. and Mrs. Vervelle live?,In a mansion in Ville-d'Avray. ," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
255,Who are some of the artists whose work Grassou has forged?,"Titian, Rembrandt, and Rubens. "," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
256,What is the fatal thought that Grassou is believed unable to remove from his heart?,That artists laugh at and ridicule his work.," Pierre Grassou de Fougères is a mediocre painter who lives off painting forgeries commissioned by an old swindler and art-dealer named Elias Magus. Grassou paints forgeries of works by Titian, Raphael, and other famous artists. Magus resells these forgeries for a large profit to members of the Petite bourgeoisie who are incapable of appreciating good art.
Monsieur Vervelle, a prosperous bottle-dealer obsessed with art, is introduced to Grassou by Magus, who introduces the painter as a grand master. Vervelle and his wife are enchanted with Grassou and believe he would make a good match for their daughter Virginie.
Grassou is invited to Ville-d'Avray, where the Vervelle mansion is garishly decorated, and also includes a large collection of Grassou’s work, including the forgery of a Titian. Grassou recognizes his own mediocrity, but when it is discovered by the Vervelles that the forgeries in their home were painted by Grassou, “far from denting his reputation, multiples Grassou’s value as an artist” and as a son-in-law, since Vervelle believes Grassou to possess all the combined talent of Rubens, Rembrandt, Terburg, and Titian.
Despite his advantageous marriage, Grassou remains bitter that he is not a true artist. “This painter, a good father and a good husband, is unable to eradicate from his heart a fatal thought, namely, that artists laugh at his work; that his name is a term of contempt in the studios; and that the feuilletons take no notice of his pictures. But he still works on; he aims for the Academy, where, undoubtedly, he will enter."""
